File Name,Estimated Clock Period,BRAM_18K,DSP,FF,LUT,URAM,BRAM_18K percentage,DSP percentage,FF percentage,LUT percentage
d_d_d_n_d_p_ap_bs__ap__bs,7.056,7,2,2422,1528,0,2.5,0.909090909090909,2.27631578947368,2.87218045112782
d_n_d_n_d_p_ap__ap__not,7.056,6,2,2424,1530,0,2.14285714285714,0.909090909090909,2.2781954887218,2.87593984962406
u_d_u_d_p_u_ar__ap__ar,7.04,6,1,1765,1555,0,2.14285714285714,0.454545454545455,1.65883458646617,2.92293233082707
n_d_u_u_u_u_ar__not__ar_bs,7.04,7,1,2254,1556,0,2.5,0.454545454545455,2.11842105263158,2.92481203007519
n_d_n_n_n_n_ap_bs__ar_ap__ar_bs,7.04,7,1,2254,1556,0,2.5,0.454545454545455,2.11842105263158,2.92481203007519
n_n_d_p_n_n_bs__ar__ar_ap_bs,7.04,8,6,2770,1557,0,2.85714285714286,2.72727272727273,2.60338345864662,2.92669172932331
d_d_d_p_u_n_ar_bs__ap__ap,7.04,6,4,2287,1561,0,2.14285714285714,1.81818181818182,2.14943609022556,2.93421052631579
d_n_d_p_u_n_ap_bs__ap__ap,7.04,6,4,2287,1561,0,2.14285714285714,1.81818181818182,2.14943609022556,2.93421052631579
u_u_d_d_u_p_ar_bs__not__bs,7.04,7,1,2983,1564,0,2.5,0.454545454545455,2.80357142857143,2.93984962406015
n_d_u_d_u_p_ap__not__bs,7.04,7,1,2983,1564,0,2.5,0.454545454545455,2.80357142857143,2.93984962406015
d_u_u_n_d_p_bs__ap__ar,7.04,6,3,1893,1566,0,2.14285714285714,1.36363636363636,1.77913533834586,2.94360902255639
u_d_d_n_p_n_ap_bs__ar__ar_ap_bs,7.04,8,4,2795,1566,0,2.85714285714286,1.81818181818182,2.62687969924812,2.94360902255639
d_u_d_p_p_n_ar_ap_bs__not__ar_ap_bs,7.04,8,4,2795,1566,0,2.85714285714286,1.81818181818182,2.62687969924812,2.94360902255639
n_n_d_n_p_n_ap__not__ap_bs,7.04,8,4,2795,1566,0,2.85714285714286,1.81818181818182,2.62687969924812,2.94360902255639
u_u_d_u_p_n_ar__ar__ap_bs,7.04,8,4,2795,1566,0,2.85714285714286,1.81818181818182,2.62687969924812,2.94360902255639
n_u_d_u_p_u_ar_ap_bs__ar__ap,7.04,6,4,2799,1568,0,2.14285714285714,1.81818181818182,2.63063909774436,2.94736842105263
d_d_d_n_p_n_ar_ap_bs__ar__ar_ap,7.04,6,4,2799,1568,0,2.14285714285714,1.81818181818182,2.63063909774436,2.94736842105263
n_u_n_u_d_p_ap_bs__ap__ar_bs,7.04,7,2,1577,1571,0,2.5,0.909090909090909,1.48214285714286,2.95300751879699
n_u_u_n_d_p_ap_bs__ar_ap__ar_bs,7.04,7,2,1577,1571,0,2.5,0.909090909090909,1.48214285714286,2.95300751879699
n_n_u_u_d_p_ar_ap__ap__ar_bs,7.04,7,2,1577,1571,0,2.5,0.909090909090909,1.48214285714286,2.95300751879699
n_n_u_n_d_p_ar__ap__ar_bs,7.04,7,2,1577,1571,0,2.5,0.909090909090909,1.48214285714286,2.95300751879699
d_d_n_n_n_n_ap_bs__ap__ar,7.04,6,1,2253,1571,0,2.14285714285714,0.454545454545455,2.11748120300752,2.95300751879699
u_d_n_u_u_u_ap__ar__ar,7.04,6,1,2253,1571,0,2.14285714285714,0.454545454545455,2.11748120300752,2.95300751879699
d_d_u_u_u_n_ar__ap__ar,7.04,6,1,2253,1571,0,2.14285714285714,0.454545454545455,2.11748120300752,2.95300751879699
u_d_n_u_n_u_not__ap__ar,7.04,6,1,2253,1571,0,2.14285714285714,0.454545454545455,2.11748120300752,2.95300751879699
d_n_n_d_d_p_bs__ar__bs,7.056,7,3,3357,1576,0,2.5,1.36363636363636,3.15507518796992,2.96240601503759
d_d_p_u_u_n_ar_ap_bs__ap__not,7.04,6,4,1863,1579,0,2.14285714285714,1.81818181818182,1.75093984962406,2.96804511278195
n_d_n_n_d_p_ap_bs__ar_ap__ar,7.04,6,2,1907,1579,0,2.14285714285714,0.909090909090909,1.79229323308271,2.96804511278195
d_u_d_u_n_u_bs__not__ar,7.04,6,3,2690,1579,0,2.14285714285714,1.36363636363636,2.5281954887218,2.96804511278195
d_u_d_n_n_u_bs__ar__ar,7.04,6,3,2690,1579,0,2.14285714285714,1.36363636363636,2.5281954887218,2.96804511278195
n_d_d_n_u_n_bs__ar_ap__ar_bs,7.04,7,3,2691,1580,0,2.5,1.36363636363636,2.52913533834586,2.96992481203008
d_d_d_p_p_p_bs__ar__ap_bs,7.04,8,6,2914,1588,0,2.85714285714286,2.72727272727273,2.73872180451128,2.98496240601504
d_n_n_d_p_n_ap_bs__ar_ap__ar_bs,7.04,7,1,2242,1590,0,2.5,0.454545454545455,2.10714285714286,2.98872180451128
d_n_d_p_u_p_bs__ar__ar_ap,7.04,6,6,2918,1590,0,2.14285714285714,2.72727272727273,2.74248120300752,2.98872180451128
n_u_d_u_u_p_bs__not__ar_ap,7.04,6,6,2918,1590,0,2.14285714285714,2.72727272727273,2.74248120300752,2.98872180451128
n_n_u_d_d_p_ar__ar__bs,7.056,7,2,3354,1599,0,2.5,0.909090909090909,3.15225563909774,3.00563909774436
u_u_u_d_d_p_ap_bs__ar__bs,7.056,7,2,3354,1599,0,2.5,0.909090909090909,3.15225563909774,3.00563909774436
d_u_d_n_d_p_ar_ap_bs__ar__not,7.056,6,2,3356,1601,0,2.14285714285714,0.909090909090909,3.15413533834586,3.0093984962406
u_d_n_u_d_p_ar_bs__not__not,7.056,6,2,3356,1601,0,2.14285714285714,0.909090909090909,3.15413533834586,3.0093984962406
d_u_u_d_p_p_ar_ap__ap__ar,7.04,6,1,1902,1603,0,2.14285714285714,0.454545454545455,1.78759398496241,3.01315789473684
u_d_n_d_u_p_ap__ap__ar,7.04,6,1,1900,1604,0,2.14285714285714,0.454545454545455,1.78571428571429,3.01503759398496
n_u_d_p_n_u_ap__ar_ap__not,7.04,6,4,1904,1608,0,2.14285714285714,1.81818181818182,1.78947368421053,3.02255639097744
n_d_u_d_d_n_bs__ar__ar_bs,7.04,7,3,3491,1609,0,2.5,1.36363636363636,3.28101503759399,3.02443609022556
d_n_d_u_p_u_bs__not__bs,7.04,7,6,2841,1612,0,2.5,2.72727272727273,2.67011278195489,3.03007518796992
n_n_d_n_u_n_ar_ap_bs__not__ar_bs,7.04,7,1,2690,1617,0,2.5,0.454545454545455,2.5281954887218,3.03947368421053
u_n_d_n_u_n_ar_ap__ap__ar_bs,7.04,7,1,2690,1617,0,2.5,0.454545454545455,2.5281954887218,3.03947368421053
n_n_d_u_n_n_ar_bs__ap__ar_bs,7.04,7,1,2690,1617,0,2.5,0.454545454545455,2.5281954887218,3.03947368421053
d_d_d_u_u_n_ap__ar_ap__ar_bs,7.04,7,1,2690,1617,0,2.5,0.454545454545455,2.5281954887218,3.03947368421053
n_u_d_n_u_u_ar_ap_bs__not__ar_bs,7.04,7,1,2690,1617,0,2.5,0.454545454545455,2.5281954887218,3.03947368421053
d_u_d_u_p_n_ar_ap__ap__bs,7.04,7,4,2355,1623,0,2.5,1.81818181818182,2.21334586466165,3.05075187969925
n_n_d_p_n_p_ap__ar__ar_ap_bs,7.04,8,4,2900,1624,0,2.85714285714286,1.81818181818182,2.72556390977444,3.05263157894737
u_d_d_n_p_p_ar_ap__ar__ar_ap_bs,7.04,8,4,2900,1624,0,2.85714285714286,1.81818181818182,2.72556390977444,3.05263157894737
u_d_d_u_n_p_ar_ap__ar__ap_bs,7.04,8,4,2900,1624,0,2.85714285714286,1.81818181818182,2.72556390977444,3.05263157894737
n_d_u_d_u_n_bs__ap__ar_bs,7.04,7,3,3118,1625,0,2.5,1.36363636363636,2.93045112781955,3.05451127819549
n_n_d_n_u_p_not__ap__bs,7.04,7,4,2047,1626,0,2.5,1.81818181818182,1.92387218045113,3.05639097744361
u_d_d_u_n_u_ar_bs__not__ar,7.04,6,1,2689,1626,0,2.14285714285714,0.454545454545455,2.52725563909774,3.05639097744361
d_n_d_u_n_u_ap__ar_ap__ar,7.04,6,1,2689,1626,0,2.14285714285714,0.454545454545455,2.52725563909774,3.05639097744361
